"salaries.Rk","salaries.Player","salaries.Salary"
"1","LeBron James","$22,971,000"
"2","Kevin Love","$19,500,000"
"3","Kyrie Irving","$14,746,000"
"4","Tristan Thompson","$14,260,870"
"5","Iman Shumpert","$9,000,000"
"6","Channing Frye","$7,807,579"
"7","J.R. Smith","$5,000,000"
"8","Timofey Mozgov","$4,950,000"
"9","Mo Williams","$2,100,000"
"10","James Jones","$1,499,000"
"11","Richard Jefferson","$1,499,000"
"12","Sasha Kaun","$1,300,000"
"13","Matthew Dellavedova","$1,147,280"
"14","Jordan McRae","$172,972"
"15","Dahntay Jones","$8,819"
