"salaries.Rk","salaries.Player","salaries.Salary"
"1","Danilo Gallinari","$14,000,000"
"2","Kenneth Faried","$11,235,955"
"3","Wilson Chandler","$10,500,000"
"4","J.J. Hickson","$5,613,500"
"5","Jameer Nelson","$4,500,000"
"6","Steve Novak","$3,750,000"
"7","Will Barton","$3,333,333"
"8","Emmanuel Mudiay","$3,102,240"
"9","D.J. Augustin","$3,000,000"
"10","Darrell Arthur","$2,814,000"
"11","Jusuf Nurkic","$1,842,000"
"12","Joffrey Lauvergne","$1,709,720"
"13","Gary Harris","$1,587,480"
"14","Mike Miller","$1,499,187"
"15","Nikola Jokic","$1,300,000"
"16","Joey Dorsey","$1,015,421"
"17","Nick Johnson","$845,059"
"18","Kostas Papanikolaou","$350,000"
"19","JaKarr Sampson","$285,489"
"20","Axel Toupane","$123,552"
"21","Erick Green","$100,000"
"22","Sean Kilpatrick","$99,418"
