"salaries.Rk","salaries.Player","salaries.Salary"
"1","Greg Monroe","$16,400,000"
"2","Khris Middleton","$15,000,000"
"3","O.J. Mayo","$8,000,000"
"4","Greivis Vasquez","$6,600,000"
"5","Jabari Parker","$5,152,440"
"6","Jerryd Bayless","$3,000,000"
"7","John Henson","$2,943,221"
"8","Michael Carter-Williams","$2,399,040"
"9","Miles Plumlee","$2,109,294"
"10","Giannis Antetokounmpo","$1,953,960"
"11","Larry Sanders","$1,865,547"
"12","Rashad Vaughn","$1,733,040"
"13","Tyler Ennis","$1,662,360"
"14","Damien Inglis","$855,000"
"15","Johnny O'Bryant","$845,059"
"16","Steve Novak","$416,886"
"17","Jared Cunningham","$57,726"
